,ID,Título,Data de Publicação,Hora de Publicação,Descrição,Período de Referência,Fundos,Duração,Dimensão,Definição,Legendas,Conteúdo Licenciado,Licença de Uso,Tags,Privacidade,Canal,Visualizações,Likes,Favoritos,Comentários
45,PazVfc_qycc,Fundos Renda Fixa Kinea - Resumo Mensal ref. Abril.22,29/04/2022,12:36:32,"Balanço mensal do mês de Abril de 2022 dos fundos de Renda Fixa da Kinea.

Por Denis Ferrari, gestor dos fundos de Renda Fixa, e Ivan Simão, head da área de relacionamento com investidores da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos

Mais informações sobre os fundos Kinea em: https://www.kinea.com.br/
Siga a Kinea no Linkedin: https://www.linkedin.com/company/kinea-investimentos/

Mais informações sobre os fundos de renda fixa Kinea em:
Kinea RF Absoluto: https://www.kinea.com.br/fundos/fundo-renda-fixa-kinea-rf-absoluto/
Kinea Prev RF: https://www.kinea.com.br/fundos/prev-rf-ativo/

Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/
relacionamento@kinea.com.br

Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Abril/2022,Renda Fixa,04:08,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, investimento, bolsa, renda, fixa, renda fixa, dinheiro, melhor, bolsa de valores, valores, risco, brasil, internacional, juros, futuro, ações, ação, primo rico, rico, primo, gestores, comprar, vender, asset, finanças, fundos, fundo, fundo de investimento, xp, xp inc, orama, toro, verde, natalia, arcuri, poupe, poupança, cdi, ipca, performance, real, dólar, rentabilidade, ganhar, rentável, itaú, santander, bradesco, caixa, btg, pactual, safra, #CartadoGestor, #RendaFixa",Público,Kinea Investimentos,295,25,0,1
46,-SUmsnPU2GU,Fundos Multimercados Kinea - Resumo Mensal ref. Abril.22,28/04/2022,12:51:05,"Balanço mensal do mês de Abril de 2022 dos fundos multimercados da Kinea. Por Ruy Alves, gestor de macro global, e Marco Freire, sócio e gestor dos fundos líquidos da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos

Mais informações sobre os fundos Kinea em: https://www.kinea.com.br/
Siga a Kinea no Linkedin: https://www.linkedin.com/company/kine...

Mais informações sobre os fundos multimercados Kinea em:
Kinea Atlas (II): https://www.kinea.com.br/fundos/fundo...
Kinea Chronos: https://www.kinea.com.br/fundos/fundo...
Kinea Apolo: https://www.kinea.com.br/fundos/fundo...
Kinea Prev XTR: https://www.kinea.com.br/fundos/prev-...
Kinea Prev MM: https://www.kinea.com.br/fundos/prev/
Kinea Prev Apolo: https://www.kinea.com.br/fundos/fundo...

Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/
relacionamento@kinea.com.br

Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Abril/2022,Multimercados,05:18,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, investimento, bolsa, dinheiro, melhor, valores, risco, brasil, internacional, juros, futuro, ações, ação, primo rico, rico, primo, gestores, comprar, vender, asset, finanças, fundos, fundo, fundo de investimentos, fundo de investimento, xp, orama, toro, verde, poupança, cdi, ipca, performance, real, dólar, rentabilidade, ganhar, rentável, itaú, santander, bradesco, caixa, btg, pactual, safra, crédito, privado, crédito privado, me poupe, live, #cartadogestor, #multimercados, #multimercado",Público,Kinea Investimentos,37036,90,0,0
47,h6UFA62MfwE,KNRI11 - Resumo Mensal do Kinea Renda ref. Março.22,06/04/2022,20:47:15,"Balanço mensal do mês de Março de 2022 do fundo Kinea Renda (KNRI11).

Por Carlos Martins, sócio e gestor do KNRI11 e Luis Filipe de Callis, da área de relacionamento com investidores da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos
 
Mais informações sobre os fundos Kinea em:
https://www.kinea.com.br
 
Siga a Kinea no Linkedin:
https://www.linkedin.com/company/kinea-investimentos
 
Mais informações sobre o fundo em:
Kinea Renda (KNRI11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-renda-knri11/  
 
Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco
relacionamento@kinea.com.br
 
Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos


Busque por nosso perfil @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Março/2022,KNRI11,04:01,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, knri, knri11, fundo, fundos, fundos de investimentos, imobiliário, imobiliários, fundos imobiliários, fundo imobiliário, investir, dinheiro, rende, renda, kinea renda, imobiliária, rendimento, bolsa, imóveis, prédio, comercial, galpão, logístico, investimento, grana, money, rentabilidade, performance, primo, infomoney, valor, economia, econômico, itaú, bradesco, personallité, caixa, banco do brasil, xp, orama, xp inc, mercado, btg, reforma, tributária, governo, #CartadoGestor",Público,Kinea Investimentos,51282,259,0,8
48,Y74yU-x9am0,Fundo Kinea Crédito Agro - FIAGRO (KNCA11) - Resumo Mensal ref. Março.22,06/04/2022,19:08:52,"Balanço mensal do mês de Março de 2022 do fundo de Crédito Agro FIAGRO (KNCA11) da Kinea. Fundo de CRA - Certificados de Recebíveis do Agronegócio.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Por Alexandre Marco, do time de gestão dos fundos de CRA da Kinea, e Luis Filipe de Callis, RI dos fundos listados da Kinea.

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos
 
Mais informações sobre os fundos Kinea em:
https://www.kinea.com.br
 
Siga a Kinea no Linkedin:
https://www.linkedin.com/company/kinea-investimentos
 
Mais informações sobre o fundos de CRA da Kinea:
https://www.kinea.com.br/fundos/kinea-agro-knca11/
 
Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco
relacionamento@kinea.com.br
 
Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por nosso perfil @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Março/2022,KNCA11,03:13,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimento, investimentos, fundo, fundos, de, renda, imobiliária, fii, KNCR11, KNIP11, knhy11, knsc11, cri, cris, fixa, renda fixa, rendimento, dinheiro, rentável, bom, melhor, bolsa, listado, investir, xp, xp inc, itaú, banco, bba, asset, verde, órama, orama, empiricus, economizar, economia, render, multiplicar, money, real, estate, private, equity, rentabilidade, dividendos, pagamento, mensal, anual, semestral, cota, cotistas, valor, oferta, governo, impostos, finclass, CRA, agro, fiagro, agronegócio, agronegócios",Público,Kinea Investimentos,73443,122,0,8
49,cr82AGp3IGA,Fundo de Infraestrutura KDIF11 - Resumo Mensal do Kinea Infra ref. Março.22,02/04/2022,03:18:08,"Balanço mensal do mês de Março de 2022 do fundo Kinea Infra (KDIF11).
Por Aymar Almeida, sócio e gestor do fundo de Infraestrutura e Luis Filipe de Callis, relacionamento com investidores da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Mais informações sobre os fundos Kinea em: https://www.kinea.com.br/
Siga a Kinea no Linkedin: https://www.linkedin.com/company/kinea-investimentos/

Mais informações sobre o fundo em:
Kinea Infra (KDIF11): https://www.kinea.com.br/fundos/infra-kdif11/ 

Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/
relacionamento@kinea.com.br

Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Março/2022,KDIF11,03:36,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, fundo, fundos, fundo de investimentos, investir, dinheiro, rende, renda, kinea renda, imobiliária, rendimento, bolsa, imóveis, prédio, comercial, investimento, render, grana, money, rentabilidade, performance, primo, rico, infomoney, valor, economia, econômico, santander, itaú, bradesco, personallité, caixa, bb, banco do brasil, xp, orama, mercado, btg, kdif11, kdif, infra, infraestrutura, fundo de infra, kdif 11, fundos de infraestrutura, energia, #cartadogestor, #infraestrutura",Público,Kinea Investimentos,75362,191,0,4
50,9LsJoByDge0,KFOF11 - Resumo Mensal do Kinea FOF FII ref. Março.22,02/04/2022,03:15:28,"Balanço mensal do mês de Março de 2022 do fundo Kinea Fundo de Fundos FII (KFOF11).

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos

Por Lucas Simon, gestor do fundo e Luis Filipe de Callis, da área de Relacionamento com Investidores da Kinea.
 
Mais informações sobre os fundos Kinea em:
https://www.kinea.com.br
 
Siga a Kinea no Linkedin:
https://www.linkedin.com/company/kinea-investimentos
 
Mais informações sobre o fundo em:
Kinea Fundo de Fundos FII (KFOF11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-fof-fii-kfof11/
 
Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/
relacionamento@kinea.com.br
 
Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos 

Procure pelo podcast Kinea nas principais plataformas de podcast.

Busque por nosso perfil @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Março/2022,KFOF11,03:02,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, fundo, fundos, fundo de investimentos, imobiliário, imobiliários, fundos imobiliários, fundo imobiliário, investir, dinheiro, rende, renda, kinea renda, imobiliária, rendimento, bolsa, imóveis, prédio, comercial, galpão, logístico, investimento, render, grana, money, rentabilidade, performance, primo, rico, infomoney, valor, economia, econômico, santander, itaú, bradesco, personallité, caixa, bb, banco do brasil, xp, orama, mercado, btg, kfof, fundo de fundos, #CartadoGestor, #kfof11",Público,Kinea Investimentos,497,48,0,0
51,l4VMvmkWr2A,"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Março.22",02/04/2022,03:11:57,"Balanço mensal do mês de Março de 2022 dos fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) da Kinea.
Por Flávio Cagno, sócio e gestor dos fundos de CRI da Kinea, e Luis Filipe de Callis, RI dos fundos listados da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos
 
Mais informações sobre os fundos Kinea em:
https://www.kinea.com.br
 
Siga a Kinea no Linkedin:
https://www.linkedin.com/company/kinea-investimentos
 
Mais informações sobre os fundos de CRI da Kinea em:
Kinea Rendimentos (KNCR11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-rendimentos-kncr11/
Kinea Índices de Preços (KNIP11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-indices-de-precos-knip11/
Kinea High Yield (KNHY11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-high-yield-knhy11/
Kinea Securities (KNSC11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-securities-knsc11/
 
Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco
relacionamento@kinea.com.br
 
Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por nosso perfil @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Março/2022,"CRIs, KNCR11, KNIP11, KNHY11, KNSC11",04:22,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimento, investimentos, fundo, fundos, de, renda, imobiliária, fii, knri, knri11, KNCR11, KNIP11, knhy11, knsc11, cri, cris, fixa, renda fixa, rendimento, dinheiro, rentável, bom, melhor, bolsa, listado, investir, xp, xp inc, itaú, banco, bba, asset, verde, órama, orama, empiricus, economizar, economia, render, multiplicar, money, real, estate, private, equity, rentabilidade, dividendos, pagamento, mensal, anual, semestral, fundo com, cota, cotistas, valor, oferta, reforma, tributária, governo, impostos, finclass",Público,Kinea Investimentos,38068,173,0,1
52,1w3zLQCMqFg,Fundos de Ações Kinea - Resumo Mensal ref. Março.22,02/04/2022,03:09:52,"Balanço mensal do mês de Março de 2022 dos fundos de ações da Kinea.
Por Rafael Oliveira, gestor dos fundos de ações, e Marcela Pereira, da área de relacionamento com investidores da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos
 
Mais informações sobre os fundos Kinea em:
https://www.kinea.com.br
 
Siga a Kinea no Linkedin:
https://www.linkedin.com/company/kinea-investimentos
 
Mais informações sobre os fundos de ações da Kinea em:
Kinea Gama: https://www.kinea.com.br/fundos/fundo-acoes-gama/
Kinea Prev Ações: https://www.kinea.com.br/fundos/fundo-prev-acoes/
Kinea Prev Ações XP: https://www.kinea.com.br/fundos/fundo-prev-acoes-xp/
 
Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco
relacionamento@kinea.com.br
 
Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Março/2022,Ações,04:00,2D,HD,False,False,YouTube,"ações, kinea, kinea investimentos, investimentos, ação, bolsa, valores, b3, fundo, fundos, moeda, valor, atlas, kinea atlas, kinea gama, gama, kinea prev, prev, multimercados, bolsa de valores, dinheiro, melhor, stock, options, macro, global, carteira, posições, posição, rendimento, grana, xp, btg, itaú, bradesco, santander, gerenciar, multiplicar, render, ganhar, mais, primo, rico, ficar, empiricus, recomendação, recomendada, toro, orama, verde, asset, gestora, gestor, selic, totvs, inflação, ipca, juros, cdi, meta, benchmark, #cartadogestor",Público,Kinea Investimentos,25996,26,0,1
53,I9Zd9JGUA94,Crédito Privado Kinea - Resumo Mensal ref. Março.22,31/03/2022,18:17:36,"Balanço mensal do mês de Março de 2022 do fundo Kinea Crédito Privado.

Por Ivan Fernandes, Gestor dos fundos de Crédito Privado da Kinea e Marcela Pereira, da área de relacionamento com investidores.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos

Mais informações sobre os fundos Kinea em: https://www.kinea.com.br/​
Siga a Kinea no Linkedin: https://www.linkedin.com/company/kine...​

Mais informações sobre os fundos de previdência Kinea em:
Kinea Cred Privado: https://www.kinea.com.br/fundos/fundo...​
Kinea Prev XTR: https://www.kinea.com.br/fundos/prev-...​
Kinea Prev Apolo: https://www.kinea.com.br/fundos/fundo...​
Kinea Prev RF: https://www.kinea.com.br/fundos/prev-...​
Kinea Prev MM: https://www.kinea.com.br/fundos/prev/​
Kinea Prev Ações: https://www.kinea.com.br/fundos/fundo...​

Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/​
relacionamento@kinea.com.br

Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Março/2022,Crédito Privado,04:28,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, investimento, bolsa, dinheiro, melhor, valores, risco, brasil, internacional, juros, futuro, ações, ação, primo rico, rico, primo, gestores, comprar, vender, asset, finanças, fundos, fundo, fundo de investimentos, fundo de investimento, xp, xp inc, orama, toro, verde, poupança, cdi, ipca, performance, real, dólar, rentabilidade, ganhar, rentável, itaú, santander, bradesco, caixa, btg, pactual, safra, crédito, privado, crédito privado, me poupe, live, #CartadoGestor, #CréditoPrivado",Público,Kinea Investimentos,23607,25,0,1
54,7xAeLdyTtak,Fundos Multimercados Kinea - Resumo Mensal ref. Março.22,31/03/2022,18:14:29,"Balanço mensal do mês de Março de 2022 dos fundos multimercados da Kinea. Por Ruy Alves, gestor de macro global, e Marcela Pereira, da área de RI da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos

Mais informações sobre os fundos Kinea em: https://www.kinea.com.br/
Siga a Kinea no Linkedin: https://www.linkedin.com/company/kine...

Mais informações sobre os fundos multimercados Kinea em:
Kinea Atlas (II): https://www.kinea.com.br/fundos/fundo...
Kinea Chronos: https://www.kinea.com.br/fundos/fundo...
Kinea Apolo: https://www.kinea.com.br/fundos/fundo...
Kinea Prev XTR: https://www.kinea.com.br/fundos/prev-...
Kinea Prev MM: https://www.kinea.com.br/fundos/prev/
Kinea Prev Apolo: https://www.kinea.com.br/fundos/fundo...

Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/
relacionamento@kinea.com.br

Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Março/2022,Multimercados,04:02,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, investimento, bolsa, dinheiro, melhor, valores, risco, brasil, internacional, juros, futuro, ações, ação, primo rico, rico, primo, gestores, comprar, vender, asset, finanças, fundos, fundo, fundo de investimentos, fundo de investimento, xp, orama, toro, verde, poupança, cdi, ipca, performance, real, dólar, rentabilidade, ganhar, rentável, itaú, santander, bradesco, caixa, btg, pactual, safra, crédito, privado, crédito privado, me poupe, live, #cartadogestor, #multimercados, #multimercado",Público,Kinea Investimentos,45141,72,0,1
55,ItbMcRizXNE,Fundos Renda Fixa Kinea - Resumo Mensal ref. Março.22,30/03/2022,23:02:22,"Balanço mensal do mês de Março de 2022 dos fundos de Renda Fixa da Kinea.

Por Marco Freire, sócio e gestor dos fundos líquidos, e Macela Pereira, da área de relacionamento com investidores da Kinea.

Cadastre-se em nossa newsletter e receba as informações da Kinea em primeira mão: https://www.kinea.com.br/newsletter/

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos

Mais informações sobre os fundos Kinea em: https://www.kinea.com.br/
Siga a Kinea no Linkedin: https://www.linkedin.com/company/kinea-investimentos/

Mais informações sobre os fundos de renda fixa Kinea em:
Kinea RF Absoluto: https://www.kinea.com.br/fundos/fundo-renda-fixa-kinea-rf-absoluto/
Kinea Prev RF: https://www.kinea.com.br/fundos/prev-rf-ativo/

Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/
relacionamento@kinea.com.br

Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Março/2022,Renda Fixa,04:32,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, investimento, bolsa, renda, fixa, renda fixa, dinheiro, melhor, bolsa de valores, valores, risco, brasil, internacional, juros, futuro, ações, ação, primo rico, rico, primo, gestores, comprar, vender, asset, finanças, fundos, fundo, fundo de investimento, xp, xp inc, orama, toro, verde, natalia, arcuri, poupe, poupança, cdi, ipca, performance, real, dólar, rentabilidade, ganhar, rentável, itaú, santander, bradesco, caixa, btg, pactual, safra, #CartadoGestor, #RendaFixa",Público,Kinea Investimentos,39418,25,0,0
56,L5UiSqNUZv4,KFOF11 - Resumo Mensal do Kinea FOF FII ref. Fevereiro.22,03/03/2022,22:10:07,"Balanço mensal do mês de Fevereiro de 2022 do fundo Kinea Fundo de Fundos FII (KFOF11).

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos

Por Ivan Simão, head de RI e Luis Filipe de Callis, da área de Relacionamento com Investidores da Kinea.
 
Mais informações sobre os fundos Kinea em:
https://www.kinea.com.br
 
Siga a Kinea no Linkedin:
https://www.linkedin.com/company/kinea-investimentos
 
Mais informações sobre o fundo em:
Kinea Fundo de Fundos FII (KFOF11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-fof-fii-kfof11/
 
Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/
relacionamento@kinea.com.br
 
Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos 

Procure pelo podcast Kinea nas principais plataformas de podcast.

Busque por nosso perfil @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Fevereiro/2022,KFOF11,02:44,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, fundo, fundos, fundo de investimentos, imobiliário, imobiliários, fundos imobiliários, fundo imobiliário, investir, dinheiro, rende, renda, kinea renda, imobiliária, rendimento, bolsa, imóveis, prédio, comercial, galpão, logístico, investimento, render, grana, money, rentabilidade, performance, primo, rico, infomoney, valor, economia, econômico, santander, itaú, bradesco, personallité, caixa, bb, banco do brasil, xp, orama, mercado, btg, kfof, fundo de fundos, #CartadoGestor, #kfof11",Público,Kinea Investimentos,477,41,0,0
57,7FrHcNswjLE,KNRI11 - Resumo Mensal do Kinea Renda ref. Fevereiro.22,03/03/2022,21:22:24,"Balanço mensal do mês de Fevereiro de 2022 do fundo Kinea Renda (KNRI11).

Por Alessandro Estevam, gestor do KNRI11 e Luis Filipe de Callis, da área de relacionamento com investidores da Kinea.

Acesse as redes da Kinea e fique por dentro das novidades, clicando aqui: https://linktr.ee/kineainvestimentos
 
Mais informações sobre os fundos Kinea em:
https://www.kinea.com.br
 
Siga a Kinea no Linkedin:
https://www.linkedin.com/company/kinea-investimentos
 
Mais informações sobre o fundo em:
Kinea Renda (KNRI11): https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-renda-knri11/  
 
Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco
relacionamento@kinea.com.br
 
Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos


Busque por nosso perfil @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Fevereiro/2022,KNRI11,02:14,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, knri, knri11, fundo, fundos, fundos de investimentos, imobiliário, imobiliários, fundos imobiliários, fundo imobiliário, investir, dinheiro, rende, renda, kinea renda, imobiliária, rendimento, bolsa, imóveis, prédio, comercial, galpão, logístico, investimento, grana, money, rentabilidade, performance, primo, infomoney, valor, economia, econômico, itaú, bradesco, personallité, caixa, banco do brasil, xp, orama, xp inc, mercado, btg, reforma, tributária, governo, #CartadoGestor",Público,Kinea Investimentos,65471,196,0,0
58,eGmTQuuMTjk,Fundo de Infraestrutura KDIF11 - Resumo Mensal do Kinea Infra ref. Fevereiro.22,03/03/2022,21:03:00,"Balanço mensal do mês de Fevereiro de 2022 do fundo Kinea Infra (KDIF11).
Por Aymar Almeida, sócio e gestor do fundo de Infraestrutura e Luis Filipe de Callis, relacionamento com investidores da Kinea.

Mais informações sobre os fundos Kinea em: https://www.kinea.com.br/
Siga a Kinea no Linkedin: https://www.linkedin.com/company/kinea-investimentos/

Mais informações sobre o fundo em:
Kinea Infra (KDIF11): https://www.kinea.com.br/fundos/infra-kdif11/ 

Fale com a equipe Kinea para tirar dúvidas e saber mais sobre oportunidades de investimento:
https://www.kinea.com.br/fale-conosco/
relacionamento@kinea.com.br

Além disso, para ter novidades em primeira mão, acesse também nosso novo grupo Kinea Investimentos no Telegram. https://t.me/kineainvestimentos

Busque por @kineainvestiementos no Instagram: 
https://www.instagram.com/kineainvestimentos/",Fevereiro/2022,KDIF11,04:34,2D,HD,False,False,YouTube,"kinea, kinea investimentos, investimentos, fundo, fundos, fundo de investimentos, investir, dinheiro, rende, renda, kinea renda, imobiliária, rendimento, bolsa, imóveis, prédio, comercial, investimento, render, grana, money, rentabilidade, performance, primo, rico, infomoney, valor, economia, econômico, santander, itaú, bradesco, personallité, caixa, bb, banco do brasil, xp, orama, mercado, btg, kdif11, kdif, infra, infraestrutura, fundo de infra, kdif 11, fundos de infraestrutura, energia, #cartadogestor, #infraestrutura",Público,Kinea Investimentos,41100,101,0,0
